0,1,2
208,22.0,42.0
228,17.0,40.0
185,24.0,48.0
194,20.0,44.0
199,23.0,50.0
211,15.0,41.0
572,23.0,128.0
687,13.0,138.0
767,30.0,124.0
663,20.0,147.0
453,21.0,121.0
748,24.0,148.0
589,37.0,164.0
522,51.0,106.0
436,57.0,73.0
518,66.0,146.0
431,55.0,58.0
345,36.0,66.0
179,9.0,56.0
142,15.0,63.0
145,17.0,67.0
204,23.0,65.0
181,9.0,59.0
186,16.0,35.0
161,15.0,46.0
153,17.0,51.0
192,12.0,35.0
172,17.0,46.0
177,15.0,43.0
231,56.0,161.0
245,53.0,161.0
305,55.0,160.0
262,51.0,155.0
240,48.0,177.0
285,60.0,152.0
278,24.0,38.0
324,18.0,51.0
297,37.0,50.0
294,36.0,38.0
323,24.0,58.0
297,21.0,58.0
344,14.0,62.0
296,17.0,42.0
312,15.0,63.0
302,14.0,42.0
340,20.0,68.0
424,72.0,80.0
508,78.0,70.0
474,71.0,76.0
401,83.0,97.0
412,77.0,95.0
383,86.0,92.0
589,26.0,97.0
693,29.0,131.0
604,32.0,98.0
787,24.0,141.0
822,36.0,142.0
624,33.0,91.0
305,38.0,48.0
223,43.0,60.0
258,35.0,57.0
232,28.0,52.0
230,30.0,59.0
217,33.0,55.0
332,35.0,75.0
330,35.0,72.0
333,40.0,65.0
319,45.0,90.0
333,35.0,81.0
283,28.0,51.0
268,34.0,70.0
284,27.0,47.0
256,41.0,62.0
297,29.0,50.0
260,49.0,56.0
232,38.0,73.0
231,40.0,67.0
233,41.0,63.0
245,30.0,61.0
241,44.0,78.0
231,32.0,67.0
503,45.0,17.0
481,31.0,51.0
477,40.0,34.0
476,30.0,32.0
476,24.0,51.0
500,46.0,20.0
450,34.0,48.0
472,39.0,73.0
444,40.0,76.0
452,35.0,58.0
447,35.0,65.0
427,39.0,46.0
315,42.0,69.0
333,33.0,56.0
306,38.0,68.0
326,31.0,58.0
317,44.0,64.0
336,63.0,66.0
339,69.0,85.0
335,69.0,93.0
349,70.0,86.0
336,72.0,75.0
318,57.0,78.0
8610,829.0,2054.0
11080,1224.0,3064.0
12940,1603.0,3894.0
6286,639.0,1327.0
3851,387.0,750.0
8020,987.0,2616.0
1209,98.0,172.0
1509,140.0,197.0
1262,73.0,155.0
1476,130.0,215.0
1299,103.0,187.0
1279,90.0,193.0
211,22.0,31.0
247,23.0,34.0
226,24.0,41.0
243,18.0,32.0
255,21.0,38.0
203,26.0,39.0
646,58.0,133.0
618,71.0,138.0
584,56.0,132.0
221,20.0,59.0
213,29.0,71.0
216,24.0,71.0
324,23.0,53.0
213,15.0,68.0
66,,10.0
456,35.0,65.0
461,34.0,77.0
443,48.0,91.0
440,53.0,90.0
480,34.0,68.0
436,46.0,97.0
280,36.0,80.0
268,29.0,75.0
254,20.0,71.0
270,21.0,64.0
270,26.0,73.0
262,19.0,67.0
406,30.0,79.0
405,35.0,78.0
407,22.0,66.0
494,25.0,71.0
448,20.0,93.0
445,30.0,79.0
694,45.0,111.0
726,49.0,93.0
676,45.0,87.0
715,37.0,93.0
702,46.0,96.0
748,44.0,90.0
359,22.0,48.0
376,25.0,39.0
336,39.0,53.0
390,30.0,44.0
334,29.0,46.0
270,30.0,50.0
260,33.0,69.0
252,33.0,46.0
270,34.0,58.0
275,32.0,57.0
244,49.0,54.0
260,43.0,50.0
259,47.0,58.0
268,46.0,67.0
251,47.0,54.0
273,40.0,85.0
516,39.0,83.0
507,35.0,91.0
515,40.0,90.0
496,37.0,81.0
518,45.0,90.0
499,27.0,80.0
262,49.0,50.0
220,51.0,65.0
263,51.0,51.0
250,54.0,62.0
214,64.0,54.0
236,44.0,49.0
401,26.0,48.0
363,20.0,38.0
384,24.0,49.0
385,26.0,53.0
385,19.0,39.0
459,21.0,43.0
779,46.0,113.0
744,34.0,124.0
775,34.0,161.0
723,41.0,153.0
859,48.0,97.0
730,61.0,148.0
269,37.0,66.0
231,38.0,75.0
243,25.0,55.0
240,28.0,64.0
217,20.0,73.0
285,30.0,51.0
283,33.0,47.0
228,31.0,69.0
332,48.0,93.0
356,34.0,63.0
325,43.0,78.0
466,39.0,80.0
350,41.0,128.0
340,39.0,57.0
232,38.0,73.0
231,40.0,67.0
233,41.0,63.0
245,30.0,61.0
241,44.0,78.0
231,32.0,67.0
501,48.0,86.0
417,52.0,75.0
476,43.0,78.0
410,47.0,74.0
417,32.0,87.0
401,32.0,78.0
122,35.0,43.0
120,55.0,11.0
333,50.0,49.0
119,54.0,32.0
122,56.0,14.0
162,35.0,41.0
505,47.0,105.0
562,37.0,118.0
560,49.0,115.0
486,66.0,136.0
578,43.0,143.0
498,68.0,137.0
1611,91.0,210.0
2042,98.0,262.0
2103,115.0,214.0
1247,82.0,198.0
2029,127.0,215.0
1924,120.0,226.0
403,57.0,76.0
473,68.0,101.0
403,56.0,92.0
414,56.0,76.0
470,56.0,77.0
459,75.0,95.0
245,46.0,34.0
