0,1,2
92,21.0,2.0
90,16.0,14.0
85,19.0,6.0
97,17.0,5.0
78,12.0,4.0
102,19.0,4.0
81,12.0,21.0
83,7.0,4.0
107,17.0,5.0
85,10.0,6.0
93,22.0,4.0
85,22.0,3.0
99,19.0,4.0
77,14.0,2.0
75,6.0,13.0
97,17.0,12.0
114,9.0,40.0
250,15.0,75.0
336,24.0,144.0
213,24.0,92.0
107,12.0,43.0
116,6.0,41.0
116,7.0,39.0
125,10.0,37.0
298,34.0,136.0
353,14.0,57.0
1703,27.0,143.0
301,17.0,15.0
266,5.0,18.0
280,10.0,17.0
172,3.0,16.0
337,5.0,55.0
326,11.0,44.0
318,17.0,20.0
215,5.0,16.0
43,2.0,2.0
193,31.0,3.0
107,,2.0
65,,3.0
406,29.0,26.0
174,29.0,4.0
103,2.0,4.0
155,19.0,7.0
169,18.0,3.0
227,16.0,15.0
184,37.0,4.0
187,9.0,20.0
186,30.0,3.0
218,11.0,24.0
206,25.0,4.0
104,2.0,3.0
63,,4.0
96,4.0,3.0
250,37.0,4.0
51,,2.0
221,20.0,6.0
86,2.0,4.0
91,3.0,2.0
106,9.0,1.0
107,6.0,1.0
235,36.0,4.0
46,,8.0
47,7.0,4.0
273,23.0,12.0
128,9.0,52.0
97,6.0,3.0
119,5.0,61.0
123,8.0,52.0
45,5.0,5.0
124,2.0,61.0
103,4.0,12.0
100,9.0,5.0
126,13.0,45.0
46,4.0,6.0
114,6.0,63.0
63,6.0,
61,5.0,1.0
64,7.0,2.0
55,9.0,4.0
56,7.0,7.0
63,9.0,1.0
55,7.0,4.0
66,6.0,
58,5.0,3.0
53,9.0,3.0
52,10.0,2.0
58,6.0,4.0
55,6.0,1.0
58,4.0,1.0
59,8.0,10.0
100,7.0,23.0
79,13.0,6.0
527,36.0,24.0
163,11.0,13.0
102,15.0,14.0
126,6.0,24.0
86,6.0,12.0
94,13.0,10.0
113,8.0,29.0
147,9.0,10.0
171,7.0,17.0
101,9.0,12.0
88,10.0,8.0
127,23.0,151.0
193,23.0,156.0
1189,176.0,1557.0
109,20.0,156.0
181,23.0,136.0
175,21.0,142.0
146,20.0,20.0
146,19.0,5.0
132,13.0,6.0
148,20.0,19.0
143,22.0,6.0
142,22.0,6.0
116,13.0,5.0
124,21.0,8.0
132,22.0,6.0
165,17.0,7.0
152,8.0,7.0
139,24.0,5.0
118,18.0,4.0
177,13.0,11.0
133,9.0,16.0
135,10.0,12.0
136,3.0,20.0
113,4.0,23.0
332,13.0,26.0
150,9.0,28.0
226,11.0,10.0
154,13.0,21.0
124,8.0,21.0
114,6.0,9.0
150,5.0,31.0
128,5.0,17.0
128,11.0,18.0
118,4.0,10.0
217,30.0,11.0
196,35.0,23.0
203,34.0,21.0
192,28.0,14.0
215,33.0,9.0
224,35.0,10.0
238,34.0,9.0
218,33.0,26.0
226,29.0,24.0
214,32.0,29.0
209,36.0,17.0
196,27.0,30.0
195,29.0,14.0
242,34.0,12.0
213,31.0,25.0
1915,147.0,889.0
215,18.0,90.0
248,17.0,72.0
283,14.0,123.0
220,12.0,74.0
237,23.0,79.0
173,11.0,82.0
209,16.0,77.0
238,22.0,110.0
178,39.0,19.0
69,9.0,9.0
98,7.0,23.0
71,10.0,7.0
84,12.0,5.0
157,37.0,15.0
113,14.0,5.0
98,16.0,6.0
131,20.0,4.0
91,16.0,7.0
79,10.0,13.0
86,12.0,23.0
137,18.0,6.0
108,10.0,11.0
118,11.0,13.0
109,13.0,13.0
112,8.0,7.0
117,12.0,11.0
112,11.0,9.0
104,9.0,9.0
97,11.0,9.0
120,12.0,9.0
96,8.0,13.0
105,7.0,10.0
117,11.0,14.0
116,8.0,17.0
123,12.0,8.0
90,13.0,12.0
119,10.0,9.0
73,11.0,13.0
109,6.0,3.0
95,10.0,12.0
115,5.0,16.0
206,33.0,23.0
174,34.0,25.0
121,9.0,5.0
133,11.0,2.0
119,11.0,4.0
109,6.0,3.0
244,11.0,54.0
130,9.0,4.0
191,12.0,177.0
172,7.0,116.0
199,18.0,170.0
208,14.0,156.0
171,9.0,122.0
214,15.0,145.0
229,10.0,166.0
120,6.0,4.0
106,7.0,8.0
218,19.0,166.0
116,7.0,6.0
217,17.0,173.0
197,10.0,149.0
181,10.0,114.0
187,11.0,167.0
136,12.0,6.0
168,15.0,72.0
163,10.0,76.0
132,16.0,4.0
152,12.0,73.0
129,8.0,3.0
115,11.0,2.0
108,10.0,7.0
131,14.0,6.0
124,8.0,6.0
247,21.0,16.0
133,9.0,3.0
131,17.0,7.0
115,12.0,8.0
571,29.0,92.0
278,26.0,17.0
250,21.0,15.0
288,27.0,15.0
247,10.0,39.0
267,16.0,27.0
278,20.0,26.0
280,19.0,40.0
264,28.0,30.0
249,23.0,23.0
253,25.0,33.0
242,17.0,29.0
260,11.0,27.0
281,16.0,31.0
164,18.0,7.0
216,16.0,9.0
181,8.0,6.0
190,7.0,7.0
199,10.0,11.0
168,8.0,33.0
199,14.0,8.0
169,6.0,5.0
207,18.0,6.0
171,3.0,8.0
201,9.0,9.0
210,11.0,12.0
